"","VD","CONT_PREC","OCORRENCIA","CONT_SEGUINTE","ITEM_LEXICAL","TRANSC_FONOLOGICA_SILAC","CONT_FON_PREC","CFP_abertura","CFP_anterioridade","CFP_tracoposicao1","CFP_tracoposicao2","CONT_FON_SEG","CFS_pontoc","CFS_sonor","TONICIDADE","POSICAO_S","CLASSE_MORFOLOGICA","CLASSE_MORFOLOGICA2","CLASSE_MORFOLOGICA3","MORFEMA.PLURAL","MORFEMA.PLURAL2","MUDANCA.SENTIDO","ESTILO","ARQUIVO.x","ANO.ENTREVISTA","LOCALIZACAO","PARTICIPANTE","STATUS_MORFOLOGICO","ARQUIVO.y","PERFIL","ESTADO","AMOSTRA","GENERO","IDADE","FAIXA_ETARIA","ESCOLARIDADE","ESCOLARIDADE2","INDICE_ESCOL_OUSHIRO","INDICE_ESCOL3","OCUPACAO","INDICE_OCUPACAO","TRABALHO.OUTROCARGO","INDICE_OUTRO_CARGO","INDICE_OUTRO_CARGO2","TRABALHO.SONHO","INDICE_OCUPACAO_SONHOS","INDICE_OCUPACAO_SONHOS2","OCUPACAO_LOCOMOCAO","OCUPACAO_LOCOMOCAO2","INDICE_LOCOMOCAO","OCUPACAO_DIST","MEGA_SENA","MEGA_SENA2","INDICE_MEGA","MEGASENA_TRABALHAR","MEGASENA_TRABALHAR2","INDICE_MEGA_TRABALHO","LAZER_CARACTERISTICA","INDICE_LAZER","LAZER_CAMPINAS_CARACTERISTICA","INDICE_LAZER_CAMPINAS","VIAGEM","INDICE_VIAGEM","VIAGEM_LUGAR","INDICE_VIAGEM_LUGAR","LAZER_VIAGEM_VONTADE2","INDICE_VIAGEM_VONTADE","BAIRRO_REGIAO","BAIRRO_REGIAO2","INDICE_BAIRRO","BAIRRO","CIDADE_RES","INFANCIA_MEMORIA","INDICE_INFANCIA","INDICE_SOCIO_OUSHIRO","CLASSE_SOCIAL","CLASSE_SOCIAL_BC","CLASSE_SOCIAL_BCC","IDADE_MIGRACAO","IDADE_MIGRACAO_fat","TEMPO_RESIDENCIA","TEMPO_RESIDENCIA_fat","PROP_VIDA_SP","PROP_VIDA_SP2","CID_ORIGEM","CID_RESIDENCIA","MOTIVO","AMIGOS","VIZINHOS","COLEGAS_ESTADO","COLEGAS_NE","COMIDA","MUSICA","CONVERSA","VOLTA","ONDE_MORARIA","ESTADUALIDADE","PAULISTIDADE","NORDESTINIDADE","DIF_SP","DIF_NE","DIF_FALAR","IMOVEL","INDICE_IMOVEL","PROPRIEDADE","NQUARTOS","NBANHEIROS","NCOMODOS","NPESSOAS","DENSIDADE_HABITACAO","NRENDA","RENDA_IND","INDICE_RENDA_IND","RENDA_FAM","INDICE_RENDA_FAM","ESCOLA_PAI","ESCOLA_PAI2","INDICE_ESCOL_PAI_OUSHIRO","INDICE_ESCOL_PAI","OCUPACAO_PAI","INDICE_OCUPACAO_PAI","ESCOLA_MAE","ESCOLA_MAE2","INDICE_ESCOL_MAE_OUSHIRO","INDICE_ESCOL_MAE","OCUPACAO_MAE","INDICE_OCUPACAO_MAE","OCUPACAO_AMIGO1","AMIGO1_CLASSIFICACAO","OCUPACAO_AMIGO2","AMIGO2_CLASSIFICACAO","OCUPACAO_AMIGO3","AMIGO3_CLASSIFICACAO","OCUPACAO_AMIGO4","AMIGO4_CLASSIFICACAO","OCUPACAO_AMIGO5","AMIGO5_CLASSIFICACAO","DOCUMENTADOR","INDICE_REDE_EST","INDICE_REDE_NE","INDICE_HABITOS","CLASSE_AUTODECLARADA","SAUDE","INDICE_ESCOL3_norm","INDICE_OCUPACAO_norm","INDICE_OUTRO_CARGO2_norm","INDICE_OCUPACAO_SONHOS2_norm","INDICE_LOCOMOCAO_norm","INDICE_MEGA_norm","INDICE_LAZER_norm","INDICE_LAZER_CAMPINAS_norm","INDICE_VIAGEM_norm","INDICE_VIAGEM_LUGAR_norm","INDICE_VIAGEM_VONTADE_norm","INDICE_BAIRRO_norm","INDICE_INFANCIA_norm","INDICE_RENDA_IND_norm","INDICE_RENDA_FAM_norm","INDICE_ESCOL_PAI_norm","INDICE_OCUPACAO_PAI_norm","INDICE_ESCOL_MAE_norm","INDICE_OCUPACAO_MAE_norm","DENSIDADE_HABITACAO_norm","INDICE_IMOVEL_norm","media_m2","PAIS","LAZER","VIAGEM2","INDICE_SOCIO_POLI","CFP_abertura2","CFS_pontoc2","CFS_sonoridade"
"1","A","que são bem pouco menos <A>","acessíveis <A>","| S Artur Nogueira tem","acessíveis","a-se-'si-vej$","j","fechada","anterior","mais.anterior","menos.posterior","#","#","#","atona","final","adverbio","adverbio","lexical","sim","sim","nao","conversa","ALCP_2018MA-_FabianoJ",2018,"00:20:04.061","FabianoJ",NA,"ALCP_2018MA-_FabianoJ","MA-","AL","amostra2","masculino",22,"1a","medio","medio","3.5",6,"manutenção de estufa",2,"nao","sem.perspec",0,"tecnico em eletronica","prof.especializacao",2,"onibus","publico",0,"longe","ajudar.outros","ajudar.outros",2,NA,NA,NA,"custo",2,"custo",2,"nao",0,NA,NA,"nacional.internacional",2,"periferia.norte","periferia",0,NA,"Holambra","positiva",2,2,"D","baixa","baixa",19,"19-",2,"9-","9","ate1quarto","Girau do Ponciano","Holambra","trabalho","maioria","alguns","alguns","nao","1xsemana","sempre","tododia","1xano","estado.origem",9,1,10,"5","3","8","casa",1,"alugado","3+",NA,"4","4",1,3,"1SM",0,"2a4SM",2,NA,NA,NA,NA,"pedreiro",1,NA,NA,NA,NA,"donadecasa",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andreza Parra",9,9,11,NA,NA,3.33333333333333,1.66666666666667,0,5,0,3.33333333333333,5,5,0,NA,5,0,5,0,2,NA,"1",NA,"0",2,2.5,NA,NA,5,2.5,3.23,"fechada","pausa","pausa"
"2","A","né? | S são pessoas <A>","acolhedoras <A>","porque como eu estou <E>","acolhedoras","a-ko-Le-'do-Ra$","a","aberta","central","menos.anterior","menos.posterior","p","dorsal.labial","surda","atona","final","adjetivo","adjetivo","lexical","sim","sim","nao","conversa","PBCP_2018FB-_LucianaB",2018,"00:20:06.247","LucianaB",NA,"PBCP_2018FB-_LucianaB","FB-","PB","amostra2","feminino",27,"1a","superior","superior","4",7,"Operadora de caixa",3,NA,NA,NA,"agroindústria","prof.especializacao",2,"onibus","publico",0,NA,"comprar casa","gastar",0,"trabalhar.empresa","trabalhar","1","sem.custo",1,"custo",2,"nao",0,"nacional",2,"nacional",1,"periferia.sul","periferia",0,"Jardim Yeda","Campinas","negativa",0,2.38,"C2","baixa","media",22,"20+",6,"9-","22","ate1quarto","Sousa","Campinas","familia","maioria","nao","varios","nao","1xmes","sempre","tododia","nunca","outro",10,8,10,"7","6","10","casa",1,"proprio","1","1","2","3",1.5,2,"1a2SM",1,"1a2SM",1,"analfabeto","analfabeto","0",0,"Agricultor",1,"analfabeto","analfabeto","0",0,"Agricultora",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marina Russo",11,11,6,NA,NA,3.88888888888889,2.5,NA,5,0,0,2.5,5,0,3.33333333333333,2.5,0,0,1.25,1,0,"1",0,"1",3,2.5,3952.3,0,3.75,1.94444444444444,2.04,"aberta","labial","surda"
"3","A","<A> pessoas <A> são mais <A>","acomodadas <A>","| S minha opinião |","acomodadas","a-ko-mo-'da-da$","a","aberta","central","menos.anterior","menos.posterior","#","#","#","atona","final","adjetivo","adjetivo","lexical","sim","sim","nao","conversa","PBCP_2018FA+_RitaS",2018,"00:20:09.258","RitaS",NA,"PBCP_2018FA+_RitaS","FA+","PB","amostra2","feminino",40,"2a.3a","medio","medio","3.5",6,"Administradora (trabalha em casa)",3,"nao","sem.perspec",0,"cuidadora","prof.intermediaria",1,"carro","próprio",1,"perto","voltar.estado","voltar.estado",1,NA,NA,NA,"custo",2,"nsai.ntem",0,"sim",1,"nacional",2,"nacional",1,"periferia.norte","periferia",0,"João Aranha","Paulínia","positiva",2,2.25,"C2","baixa","media",9,"19-",29,"10+","73","maismetade","Soledade","Paulinia","familia","metade","nao","nao","nao","1xsemana","sempre","1xsemana","nunca","outro",7,7,7,"10","8","6","casa",1,"proprio","3+","2","4","2",0.5,1,"1a2SM",1,"1a2SM",1,NA,NA,NA,NA,"Aposentado",NA,NA,NA,NA,NA,"Donadecasa",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",6,6,6,NA,NA,3.33333333333333,2.5,0,2.5,5,1.66666666666667,5,0,5,3.33333333333333,2.5,0,5,1.25,1,NA,NA,NA,"0",1,2.5,2672.33,NA,2.5,3.61111111111111,2.8,"aberta","pausa","pausa"
"4","P","não usa e a gente se","acostuma <P>","usar aqui né? | D1","acostuma","a-ko$-'tu-ma","o","meia.fechada","posterior","menos.anterior","mais.posterior","t","coronal","surda","atona","medial","verbo","verbo","lexical","nao","nao","nao","conversa","PBCP_2017FB+_MarisaR",2017,"00:20:16.640","MarisaR",NA,"PBCP_2017FB+_MarisaR","FB+","PB","amostra2","feminino",45,"2a.3a","fund2","fund","2.5",4,"Diarista",1,"nao",NA,NA,"advogado","prof.especializacao",2,NA,NA,NA,NA,"gastar","gastar",0,NA,NA,NA,"custo",2,"custo",2,"sim",1,"SP-estado",NA,NA,NA,"periferia.norte","periferia",0,"João Aranha","Paulínia","positiva",2,1.83,"D","baixa","baixa",19,"19-",26,"10+","58","maismetade","Soledade","Paulinia","familia","maioria","varios","nao","nao","1xsemana","sempre","tododia","1xano","estado.origem",10,6,10,"10","8","10","casa",1,"proprio","2","2","4","5",1.25,1,"1a2SM",1,"1a2SM",1,NA,NA,NA,NA,"Aposentado",NA,NA,NA,NA,NA,"Aposentada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",9,11,11,NA,NA,2.22222222222222,0.833333333333333,NA,5,NA,0,5,5,5,NA,NA,0,5,1.25,1,NA,NA,NA,NA,2.5,2.5,2672.33,NA,5,5,3.04,"meio.fechada","coronal","surda"
"5","P","tempo aqui a gente entende que","acostuma <P>","mesmo <A> | S mas","acostuma","a-ko$-'tu-ma","o","meia.fechada","posterior","menos.anterior","mais.posterior","t","coronal","surda","atona","medial","verbo","verbo","lexical","nao","nao","nao","conversa","PBCP_2018MA-_JonasP",2018,"00:20:20.021","JonasP",NA,"PBCP_2018MA-_JonasP","MA-","PB","amostra2","masculino",23,"1a","medio","medio","3.5",6,"Agricultor",1,"motorista","com.perspec",1,"politico","prof.especializacao",2,NA,NA,NA,NA,"ajudar.outros","ajudar.outros",2,NA,NA,NA,"sem.custo",1,"nsai.ntem",0,"nao",0,NA,NA,"nacional",1,"periferia.norte","periferia",0,NA,"Engenheiro Coelho","positiva",2,2.17,"C2","baixa","media",17,"19-",6,"9-","26","de1a2quartos","Nova Holinda","EngenheiroCoelho","trabalho","maioria","varios","alguns","alguns","tododia","nunca","tododia","menos1xano","estado.origem",10,0,10,"10","9","10","casa",1,"alugado","2","1","3","3",1,2,"1a2SM",1,"1a2SM",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marina Russo",10,10,9,NA,NA,3.33333333333333,0.833333333333333,5,5,NA,3.33333333333333,2.5,0,0,NA,2.5,0,5,1.25,1,NA,NA,NA,NA,2,2.5,NA,NA,1.25,1.25,2.66,"meio.fechada","coronal","surda"
"6","A","essa né | S mas <0>","acostuma <A>","viu a gente acostuma <P>","acostuma","a-ko$-'tu-ma","o","meia.fechada","posterior","menos.anterior","mais.posterior","t","coronal","surda","atona","medial","verbo","verbo","lexical","nao","nao","nao","conversa","PBCP_2018MB+_MatheusA",2018,"00:20:20.021","MatheusA",NA,"PBCP_2018MB+_MatheusA","MB+","PB","amostra2","masculino",50,"2a.3a","fund1","fund","1.5",2,"Trabalha com a parte industrial em empresa",1,"nao","sem.perspec",0,"mecanico","prof.intermediaria",1,"caminhando","publico",0,"perto","comprar.casa","gastar",0,NA,NA,NA,"custo",2,"custo",2,"sim",1,"SP-estado",0,"nacional",1,"periferia.norte","periferia",0,"João Aranha","Paulínia","negativa",0,2.17,"C2","baixa","media",20,"20+",30,"10+","60","maismetade","Soledade","Paulinia","trabalho","metade","alguns","nao","alguns","1xmes","nunca","tododia","1xano","estado.origem",9,9,10,"8","3","9","casa",1,"proprio","3+","3+","4","4",1,2,"2a4SM",2,"2a4SM",2,NA,NA,NA,NA,"Falecido",NA,NA,NA,NA,NA,"Aposentada",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",7,7,8,NA,NA,1.11111111111111,0.833333333333333,0,2.5,0,0,5,5,5,0,2.5,0,0,2.5,2,NA,NA,NA,"1",2,2.5,2672.33,NA,5,2.5,1.81,"meio.fechada","coronal","surda"
"7","P","<0> acostuma <A> viu a gente","acostuma <P>","com tudo que é ruim","acostuma","a-ko$-'tu-ma","o","meia.fechada","posterior","menos.anterior","mais.posterior","t","coronal","surda","atona","medial","verbo","verbo","lexical","nao","nao","nao","conversa","PBCP_2018MB+_MatheusA",2018,"00:20:22.639","MatheusA",NA,"PBCP_2018MB+_MatheusA","MB+","PB","amostra2","masculino",50,"2a.3a","fund1","fund","1.5",2,"Trabalha com a parte industrial em empresa",1,"nao","sem.perspec",0,"mecanico","prof.intermediaria",1,"caminhando","publico",0,"perto","comprar.casa","gastar",0,NA,NA,NA,"custo",2,"custo",2,"sim",1,"SP-estado",0,"nacional",1,"periferia.norte","periferia",0,"João Aranha","Paulínia","negativa",0,2.17,"C2","baixa","media",20,"20+",30,"10+","60","maismetade","Soledade","Paulinia","trabalho","metade","alguns","nao","alguns","1xmes","nunca","tododia","1xano","estado.origem",9,9,10,"8","3","9","casa",1,"proprio","3+","3+","4","4",1,2,"2a4SM",2,"2a4SM",2,NA,NA,NA,NA,"Falecido",NA,NA,NA,NA,NA,"Aposentada",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",7,7,8,NA,NA,1.11111111111111,0.833333333333333,0,2.5,0,0,5,5,5,0,2.5,0,0,2.5,2,NA,NA,NA,"1",2,2.5,2672.33,NA,5,2.5,1.81,"meio.fechada","coronal","surda"
"8","P","sei o quê"" é porque é","acostumada <P>","na cidade né | S","acostumada","a-ko$-tu-'ma-da","o","meia.fechada","posterior","menos.anterior","mais.posterior","t","coronal","surda","atona","medial","adjetivo","adjetivo","lexical","nao","nao","nao","conversa","ALCP_2017FB-_JosileideS",2017,"00:20:22.639","JosileideS",NA,"ALCP_2017FB-_JosileideS","FB-","AL","amostra2","feminino",33,"1a","fund1","fund","1.5",2,"auxiliar-cozinha",1,"cozinheira","com.perspec",1,"chef","prof.intermediaria",1,"onibus","publico",0,"longe",NA,NA,NA,NA,NA,NA,"custo",2,"custo",2,"nao",0,"SP-estado",NA,"nenhum",0,"periferia.sul","periferia",0,"Conjunto Habitacional Vida Nova","Campinas","positiva",2,1.1,"E","baixa","baixa",31,"20+",1,"9-","0","ate1quarto","Taquarana","Campinas","trabalho","maioria","nao","nao","alguns","tododia","as.vezes","1xmes","nunca","estado.origem",10,0,10,"10","5","10","casa",1,"alugado","2","1","3","4",1.3,2,"1SM",0,"1a2SM",1,"analfabeto","analfabeto","0",0,"agricultor",1,"analfabeto","analfabeto","0",0,"agricultora",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",5,7,7,NA,NA,1.11111111111111,0.833333333333333,5,2.5,0,NA,5,5,0,NA,0,0,5,0,1,0,"1",0,"1",2.6,2.5,2182.5,0,5,0,1.81,"meio.fechada","coronal","surda"
"9","A","lá | S eh | S","acostumado <A>","ganhar tão pouco chega aqui","acostumado","a-ko$-tu-'ma-do","o","meia.fechada","posterior","menos.anterior","mais.posterior","t","coronal","surda","atona","medial","adjetivo","adjetivo","lexical","nao","nao","nao","conversa","ALCP_2016MA+_JefersonL",2016,"00:20:28.126","JefersonL",NA,"ALCP_2016MA+_JefersonL","MA+","AL","amostra2","masculino",32,"1a","fund1","fund","1.5",2,"Construtor-pedreiro",2,NA,NA,NA,NA,"nenhuma",0,"caminhando","publico",0,"perto","comprar.casa","gastar",0,NA,NA,NA,NA,NA,NA,NA,"nao",0,NA,NA,NA,NA,"periferia.sul","periferia",0,NA,"Sumaré","negativa",0,1.47,"E","baixa","baixa",15,"19-",17,"10+","53","maismetade","Coité do Noia","Sumare","trabalho","nenhum","nao","nao","varios","1xsemana","sempre","1xsemana","nunca","outro",10,5,10,"9","7","10","casa",1,"alugado","2","1","3","4",1.3,2,"1a2SM",1,"1a2SM",1,"analfabeto","analfabeto","0",0,"Agricultor",1,"fund1","fund","1",1,"Doméstica",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Livia Oushiro (2018)/Lucas Eberle (2016)",2,2,6,NA,NA,1.11111111111111,1.66666666666667,NA,0,0,0,NA,NA,0,NA,NA,0,0,1.25,1,0,"1",0.555555555555556,"1",2.6,2.5,NA,0.277777777777778,NA,0,0.54,"meio.fechada","coronal","surda"
"10","P","lá eh | S que é","acostumado <P>","com o clima de lá","acostumado","a-ko$-tu-'ma-do","o","meia.fechada","posterior","menos.anterior","mais.posterior","t","coronal","surda","atona","medial","adjetivo","adjetivo","lexical","nao","nao","nao","conversa","ALCP_2017MA-_WellingtonF",2017,"00:20:31.570","WellingtonF",NA,"ALCP_2017MA-_WellingtonF","MA-","AL","amostra2","masculino",21,"1a","medio","medio","3.5",6,"Garçom",1,"nao","sem.perspec",0,"bancario","prof.especializacao",2,"uber/carona","compartilhado",1,NA,"voltar.estado","voltar.estado",1,NA,NA,NA,"custo",2,"custo",2,"sim",1,"nacional",2,"nacional.internacional",2,NA,NA,NA,NA,"Campinas","positiva",2,2.67,"C1","media","media",19,"19-",2,"9-","10","ate1quarto","Arapiraca","Campinas","trabalho","maioria","nao","varios","varios","tododia","sempre","tododia","1xano","outro",10,1,10,"9","0","10","outros",0,"alugado","2","1","3","7",2.3,NA,"1a2SM",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",13,13,10,NA,NA,3.33333333333333,0.833333333333333,0,5,5,1.66666666666667,5,5,5,3.33333333333333,5,NA,5,1.25,NA,NA,NA,NA,NA,4.6,0,NA,NA,5,4.44444444444444,3.32,"meio.fechada","coronal","surda"
