VD,CONT_PREC,OCORRENCIA,CONT_SEGUINTE,ITEM_LEXICAL,TRANSC_FONOLOGICA_SILAC,CONT_FON_PREC,CFP_abertura,CFP_anterioridade,CFP_tracoposicao1,CFP_tracoposicao2,CONT_FON_SEG,CFS_pontoc,CFS_sonor,TONICIDADE,POSICAO_S,CLASSE_MORFOLOGICA,CLASSE_MORFOLOGICA2,CLASSE_MORFOLOGICA3,MORFEMA.PLURAL,MORFEMA.PLURAL2,MUDANCA.SENTIDO,ESTILO,ARQUIVO,ANO.ENTREVISTA,LOCALIZACAO,PARTICIPANTE
A,que são bem pouco menos <A>,acessíveis <A>,| S Artur Nogueira tem,acessíveis,a-se-'si-vej$,j,fechada,anterior,mais.anterior,menos.posterior,#,#,#,atona,final,adverbio,adverbio,lexical,sim,sim,nao,conversa,ALCP_2018MA-_FabianoJ,2018,00:20:04.061,FabianoJ
A,né? | S são pessoas <A>,acolhedoras <A>,porque como eu estou <E>,acolhedoras,a-ko-Le-'do-Ra$,a,aberta,central,menos.anterior,menos.posterior,p,dorsal.labial,surda,atona,final,adjetivo,adjetivo,lexical,sim,sim,nao,conversa,PBCP_2018FB-_LucianaB,2018,00:20:06.247,LucianaB
A,<A> pessoas <A> são mais <A>,acomodadas <A>,| S minha opinião |,acomodadas,a-ko-mo-'da-da$,a,aberta,central,menos.anterior,menos.posterior,#,#,#,atona,final,adjetivo,adjetivo,lexical,sim,sim,nao,conversa,PBCP_2018FA+_RitaS,2018,00:20:09.258,RitaS
P,não usa e a gente se,acostuma <P>,usar aqui né? | D1,acostuma,a-ko$-'tu-ma,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,PBCP_2017FB+_MarisaR,2017,00:20:16.640,MarisaR
P,tempo aqui a gente entende que,acostuma <P>,mesmo <A> | S mas,acostuma,a-ko$-'tu-ma,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,PBCP_2018MA-_JonasP,2018,00:20:20.021,JonasP
A,essa né | S mas <0>,acostuma <A>,viu a gente acostuma <P>,acostuma,a-ko$-'tu-ma,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,PBCP_2018MB+_MatheusA,2018,00:20:20.021,MatheusA
P,<0> acostuma <A> viu a gente,acostuma <P>,com tudo que é ruim,acostuma,a-ko$-'tu-ma,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,PBCP_2018MB+_MatheusA,2018,00:20:22.639,MatheusA
P,"sei o quê"" é porque é",acostumada <P>,na cidade né | S,acostumada,a-ko$-tu-'ma-da,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,adjetivo,adjetivo,lexical,nao,nao,nao,conversa,ALCP_2017FB-_JosileideS,2017,00:20:22.639,JosileideS
A,lá | S eh | S,acostumado <A>,ganhar tão pouco chega aqui,acostumado,a-ko$-tu-'ma-do,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,adjetivo,adjetivo,lexical,nao,nao,nao,conversa,ALCP_2016MA+_JefersonL,2016,00:20:28.126,JefersonL
P,lá eh | S que é,acostumado <P>,com o clima de lá,acostumado,a-ko$-tu-'ma-do,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,adjetivo,adjetivo,lexical,nao,nao,nao,conversa,ALCP_2017MA-_WellingtonF,2017,00:20:31.570,WellingtonF
