VD,CONT_PREC,OCORRENCIA,CONT_SEGUINTE,ITEM_LEXICAL,TRANSC_FONOLOGICA_SILAC,CONT_FON_PREC,CONT_FON_SEG,TONICIDADE,POSICAO_S,CLASSE_MORFOLOGICA,CLASSE_MORFOLOGICA2,CLASSE_MORFOLOGICA3,STATUS_MORFOLOGICO,MORFEMA.PLURAL,ARQUIVO,ANO.ENTREVISTA,LOCALIZACAO,PARTICIPANTE
A, S , antes <A> , de entrar na unicamp eu ,antes,'A-tes,e,d,atona,final,adverbio,adverbio,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:20:00.465,VeraS
P, eu pensava será que S ter , estudado <P> , numa instituição <P> privada impacta ,estudado,es-tu-'da-do,e,t,atona,medial,adjetivo,adjetivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:20:03.137,VeraS
P, que S ter estudado <P> numa , instituição <P> , privada impacta S que as ,instituição,Is-ti-tuj-'sAw,I,t,atona,medial,substantivo,substantivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:20:03.137,VeraS
A, instituição <P> privada impacta S que , as <A> , pessoas às <A> vezes <0> ,as,as,a,p,atona,final,artigo,artigo,gramatical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:20:06.416,VeraS
A, impacta S que as <A> pessoas , às <A> , vezes <0> também tipo a ,às,'as,a,v,tonica,final,prepArtigo,artigo,gramatical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:20:06.416,VeraS
0, que as <A> pessoas às <A> , vezes <0> , também tipo a S porque ,vezes,'ve-zes,e,t,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:20:06.416,VeraS
P, tipo a S porque é uma , instituição <P> , paga e tudo mais <A> ,instituição,Is-ti-tuj-'sAw,I,t,atona,medial,substantivo,substantivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:20:08.332,VeraS
A, uma instituição <P> paga e tudo , mais <A> , parece que S tipo S ,mais,'majs,j,p,tonica,final,adverbio,adverbio,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:20:08.332,VeraS
A, S tipo S num sei S , mas <A> , mas agora eu sinto que ,mas,mas,a,m,atona,final,conjuncao,conjuncao,gramatical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:20:12.947,VeraS
A, é uma coisa que eu venho , desconstruindo <A> , <P> sabe D1 legal D1 ,desconstruindo,des-kOs-tRu-'I-do,e,k,atona,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:20:12.947,VeraS
